Date,Temperature (Â°C),Humidity (%),Pressure (hPa),Accelerometer,Gyroscope,Magnetometer
2025-01-15 00:13:21.945872,37.2,43.44,995.44,"{'x': -0.006417726632207632, 'y': 0.7159953117370605, 'z': 0.6418974995613098}","{'x': -0.06536885350942612, 'y': 0.11341831088066101, 'z': -0.050156738609075546}",195.44
2025-01-15 00:13:31.945871,37.23,43.49,995.58,"{'x': 0.07030931115150452, 'y': -0.4655659794807434, 'z': 0.8505020141601562}","{'x': -0.34209081530570984, 'y': -0.02036117948591709, 'z': 0.49870565533638}",195.77
2025-01-15 00:13:41.945872,37.12,43.71,995.68,"{'x': 0.46040478348731995, 'y': 0.282853364944458, 'z': 0.8570818305015564}","{'x': 0.5696255564689636, 'y': 0.36998170614242554, 'z': 0.6459242105484009}",197.47
2025-01-15 00:13:51.945873,36.55,44.36,995.65,"{'x': 0.478103369474411, 'y': 0.7766934037208557, 'z': 0.2658732533454895}","{'x': -2.317628860473633, 'y': 0.8153024911880493, 'z': 0.05521751195192337}",200.07
2025-01-15 00:14:01.945875,36.1,44.69,995.62,"{'x': 0.09382656961679459, 'y': -0.67808598279953, 'z': 0.726460337638855}","{'x': -0.5503958463668823, 'y': 0.20840784907341003, 'z': 0.040251314640045166}",202.52
2025-01-15 00:14:11.945877,35.87,45.02,995.62,"{'x': -0.10934819281101227, 'y': -0.6443143486976624, 'z': 0.7315779328346252}","{'x': -0.5354296565055847, 'y': 0.2658292055130005, 'z': 0.041778478771448135}",204.18
2025-01-15 00:14:21.945880,35.72,45.29,995.59,"{'x': 0.5838097929954529, 'y': 0.5635215640068054, 'z': 0.5449061393737793}","{'x': -1.2403682470321655, 'y': 1.0449877977371216, 'z': 0.18258291482925415}",206.68
2025-01-15 00:14:31.945877,36.1,45.79,995.61,"{'x': -0.8022158741950989, 'y': -0.29912012815475464, 'z': 0.4659483730792999}","{'x': -0.395846962928772, 'y': 0.857757568359375, 'z': 0.32460907101631165}",208.45
2025-01-15 00:14:41.945877,35.7,45.1,995.61,"{'x': 0.9288102984428406, 'y': -0.08828867971897125, 'z': 0.3063269555568695}","{'x': -0.05556153506040573, 'y': 0.0793800950050354, 'z': -0.006370970048010349}",210.65
2025-01-15 00:14:51.945883,35.62,46.1,995.62,"{'x': 0.29748114943504333, 'y': 0.1901065856218338, 'z': 0.8587877154350281}","{'x': -0.07508914917707443, 'y': 0.08690609037876129, 'z': -0.17846116423606873}",213.52
2025-01-15 00:15:01.945880,35.4,46.18,995.63,"{'x': 0.9535397887229919, 'y': 0.09663144499063492, 'z': 0.2164028137922287}","{'x': -0.24032819271087646, 'y': -0.503800630569458, 'z': 0.20271874964237213}",216.52
2025-01-15 00:15:11.945881,35.17,46.04,995.57,"{'x': 0.44585803151130676, 'y': 0.028649523854255676, 'z': 0.86341792345047}","{'x': -0.061514876782894135, 'y': 0.07853859663009644, 'z': -0.00038732122629880905}",219.62
2025-01-15 00:15:21.945883,34.77,46.58,995.61,"{'x': 0.4764062464237213, 'y': 0.232595294713974, 'z': 0.793476939201355}","{'x': -0.1671411693096161, 'y': 0.32328182458877563, 'z': -0.019235501065850258}",222.66
2025-01-15 00:15:31.945883,35.02,47.11,995.61,"{'x': 0.3275444209575653, 'y': 0.1476178914308548, 'z': 0.9611403942108154}","{'x': 0.6083522439002991, 'y': -0.6324169039726257, 'z': -0.1808093637228012}",225.56
2025-01-15 00:15:41.945885,35.36,46.85,995.6,"{'x': 0.020123012363910675, 'y': -0.42504003643989563, 'z': 0.8614683747291565}","{'x': -0.07754556834697723, 'y': 0.08121266216039658, 'z': -0.018912214785814285}",228.4
2025-01-15 00:15:51.945885,35.74,46.8,995.58,"{'x': 0.019153228029608727, 'y': -0.42624616622924805, 'z': 0.8590313792228699}","{'x': -0.07212007790803909, 'y': 0.0804092139005661, 'z': -0.018879607319831848}",231.17
